comment,cleaned_comment,lang
"Terima kasih, pak. Hasil diskusi ini berhasil menjawab kekhawatiran saya bahwa kita harus lebih khawatir lagi.",terima kasih pak hasil diskusi ini berhasil menjawab kekhawatiran saya bahwa kita harus lebih khawatir lagi,id
"Dari hasil diskusi ini saya melihat bahwasanya penyambung lidah rakyat saat ini adalah jurnalis / dewan pers, bukan DPR. Terima kasih banyak mbak Nana dan seluruh rekan-rekan jurnalis / dewan pers sudah mewakilkan seluruh keresahan rakyat kepada Bapak Presiden Prabowo.🙏🏿",dari hasil diskusi ini saya melihat bahwasanya penyambung lidah rakyat saat ini adalah jurnalis  dewan pers bukan dpr terima kasih banyak mbak nana dan seluruh rekanrekan jurnalis  dewan pers sudah mewakilkan seluruh keresahan rakyat kepada bapak presiden prabowo,id
"Next, wakil presiden Gibran Rakabuming menjawab. Pliss harus sering ada acara² kayak giniii, biar masyarakat/rakyat tau kualitas para pemimpin kitaa",next wakil presiden gibran rakabuming menjawab pliss harus sering ada acara kayak giniii biar masyarakatrakyat tau kualitas para pemimpin kitaa,id
"Ini orang pikirannya tuh stuck di tahun 80-90an deh. Seneng banget menarasikan ""Indonesia adalah negara yang besar"" ""Swasembada Pangan"" ""Antek-antek asing"" ""Dwifungsi abri"" blablablabla",ini orang pikirannya tuh stuck di tahun an deh seneng banget menarasikan indonesia adalah negara yang besar swasembada pangan antekantek asing dwifungsi abri blablablabla,id
"ini para pewawancara sangat amat pandai mengatur emosi, karna saya yang nonton saja rasanya sangat amat lelah untuk menahan emosi.. dalam waktu 3 jam ternyata saya tak mendapat jawaban..",ini para pewawancara sangat amat pandai mengatur emosi karna saya yang nonton saja rasanya sangat amat lelah untuk menahan emosi dalam waktu  jam ternyata saya tak mendapat jawaban,id
"Alhamdulillah video yg sangat bermanfaat, setiap beberapa detik saya mendengarkan saya selalu istighfar, meningkatkan iman kepada Allah dan melatih kesabaran seluas samudra Pasifik",alhamdulillah video yg sangat bermanfaat setiap beberapa detik saya mendengarkan saya selalu istighfar meningkatkan iman kepada allah dan melatih kesabaran seluas samudra pasifik,id
jurnalis2 ini malah mewakili rakyat drpd DPR itu sendiri,jurnalis ini malah mewakili rakyat drpd dpr itu sendiri,id
presiden menjawab❌ presiden membantah✔️,presiden menjawab presiden membantah,id
"1) GANTI MENTERI2 KORUP
2) SAHKAN UU PERAMPASAN ASSET KORUPTOR
3) BATALKAN UU PERAMPASAN ASSET RAKYAT
4) KEMBALIKAN UANG RAKYAT YG DIKORUP UNTUK PENDIDIKAN & PEMBERDAYAAN RAKYAT","ganti menteri korup
 sahkan uu perampasan asset koruptor
 batalkan uu perampasan asset rakyat
 kembalikan uang rakyat yg dikorup untuk pendidikan  pemberdayaan rakyat",id
"Video ini sangat solutif, bagi saya yang memiliki gangguan pola tidur. Saya tadi malam susah tidur, nonton video ini cukup 15 menit sudah tertidur pulas sampai subuh. Makasih pak prabowo.",video ini sangat solutif bagi saya yang memiliki gangguan pola tidur saya tadi malam susah tidur nonton video ini cukup  menit sudah tertidur pulas sampai subuh makasih pak prabowo,id
Jawaban²nya sangat normatif. Panjang tapi gak ada isinya. Yg ditanya apa jawabannya kemana² gak ke pokok persoalan. Salut mba nana yg lbh berani dr jurnalis² yg lain,jawabannya sangat normatif panjang tapi gak ada isinya yg ditanya apa jawabannya kemana gak ke pokok persoalan salut mba nana yg lbh berani dr jurnalis yg lain,id
Saya adalah pria berumur 65 tahun yang menderita lumpuh pada kaki saya dan saya sudah tidak bisa berjalan selama lebih dari 10 tahun. Ketika cucu saya membuka video ini saya berdiri dan berjalan untuk mematikan videonya. Terimakasih pak prabowo telah memberikan saya kemampuan untuk berjalan lagi,saya adalah pria berumur  tahun yang menderita lumpuh pada kaki saya dan saya sudah tidak bisa berjalan selama lebih dari  tahun ketika cucu saya membuka video ini saya berdiri dan berjalan untuk mematikan videonya terimakasih pak prabowo telah memberikan saya kemampuan untuk berjalan lagi,id
yg ngerasa jawaban bapak presiden tidak menjawab pertanyaan mbak najwa shihab🙋🏻‍♂️,yg ngerasa jawaban bapak presiden tidak menjawab pertanyaan mbak najwa shihab,id
"Jurnalis jurnalisnya 

""Mulutku diam tapi hatiku berdzikir"" 🥰","jurnalis jurnalisnya 

mulutku diam tapi hatiku berdzikir",id
